id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,code,shape_Leng,shape_Area
17315,Pipistrellus maderensis,6,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Santa Maria,,,Not Mapped,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,VU,0.485928319,0.009951797
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,583.8344839,705.6283103
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Corsica,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,7.923208328,0.953454172
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Crete,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,1.271230492,0.049702467
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Fyn,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,5.99507381,0.427542884
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Gotland,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,5.630844591,0.457553671
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Great Britain,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,77.10253694,25.85480209
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Ireland,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,16.91347524,3.893682319
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Lolland,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,3.439809654,0.172238345
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Fergusson,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,1.959294703,0.109397745
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Majorca,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,4.16350338,0.380285375
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Amami-oshima,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,2.750368284,0.065116085
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Goodenough,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,1.109157216,0.05817654
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Öland,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,3.641166493,0.198998811
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Sardinia,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,11.94851605,2.532570026
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Sicily,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,10.24217331,2.618374056
17316,Pipistrellus nathusii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Zealand,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,12.11921342,1.000450025
17317,Pipistrellus pipistrellus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,1171.654024,1269.609858
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,385.5773463,354.342974
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Hokkaido,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,1.91172769,0.20947532
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Hainan,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,12.46645592,2.90165084
19527,Rhinolophus borneensis,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Serasan,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,0.463458258,0.00503136
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Hong Kong,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,2.970975935,0.066968785
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Iki,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.809843171,0.01327369
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Iriomote,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,1.227324794,0.02484657
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Ishigaki,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,1.123199852,0.020705215
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Kuchino,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.152285653,0.00130549
